Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,,,,,,
9/3/2019 15:15,185.28,185.3,185.25,185.27,52.33809,101.3716,,,,,,
9/3/2019 15:16,185.27,185.29,185.21,185.29,54.20757,66.68301,,,,,,
9/3/2019 15:17,185.29,185.35,185.28,185.34,58.58387,184.1235,,,,,,
9/3/2019 15:18,185.34,185.48,185.33,185.45,66.22981,265.1339,,,,,,
9/3/2019 15:19,185.45,185.48,185.4,185.45,71.83033,212.1066,,,,,,
9/3/2019 15:20,185.45,185.48,185.41,185.45,76.09902,154.3243,,,,,,
9/3/2019 15:21,185.45,185.6,185.45,185.57,79.71127,173.8893,,,,,,
9/3/2019 15:22,185.57,185.59,185.54,185.55,77.60582,144.2565,,,,,,
9/3/2019 15:23,185.55,185.6,185.55,185.56,77.91962,121.0236,,,,,,
9/3/2019 15:24,185.55,185.57,185.54,185.55,76.76125,94.02879,,,,,,
9/3/2019 15:25,185.55,185.58,185.54,185.55,75.55169,84.07481,,,,,,
9/3/2019 15:26,185.54,185.58,185.52,185.52,71.89001,66.69249,,,,,,
9/3/2019 15:27,185.53,185.54,185.5,185.51,70.65942,45.56219,,,,,,
9/3/2019 15:28,185.52,185.56,185.5,185.51,69.38044,42.2435,,,,,,
9/3/2019 15:29,185.51,185.53,185.49,185.5,68.05585,21.20495,,,,,,
9/3/2019 15:30,185.5,185.56,185.46,185.55,71.03529,27.08299,,,,,,
9/3/2019 15:31,185.55,185.63,185.48,185.53,68.29107,53.19039,,,,,,
9/3/2019 15:32,185.55,185.66,185.55,185.65,74.62386,177.621,,,,,,
9/3/2019 15:33,185.65,185.69,185.61,185.61,69.63234,190.0656,,,,,,
9/3/2019 15:34,185.61,185.62,185.59,185.61,64.95346,111.2948,,,,,,
9/3/2019 15:35,185.61,185.64,185.58,185.64,66.75781,111.5615,,,,,,
9/3/2019 15:36,185.64,185.67,185.6,185.67,68.5041,126.7822,,,,,,
9/3/2019 15:37,185.67,185.68,185.6,185.6,60.51629,78.59862,,,,,,
9/3/2019 15:38,185.61,185.64,185.55,185.63,62.53281,42.74692,,,,,,
9/3/2019 15:39,185.63,185.63,185.6,185.6,59.27276,41.70995,,,,,,
9/3/2019 15:40,185.6,185.68,185.59,185.65,62.75698,75.41976,,,,,,
