Timestamp,Open,High,Low,Close,Rsi,Cci
4/23/2020 10:00:00 AM,2399.98,2424.18,2392.98,2418.13,60.65,156.89
4/23/2020 11:00:00 AM,2418.13,2424.22,2406.27,2411.28,59.16,144.18
4/23/2020 12:00:00 PM,2411.28,2413.50,2396.44,2401.94,57.10,107.52
4/23/2020 1:00:00 PM,2401.94,2412.89,2385.33,2407.17,57.98,89.52
4/23/2020 2:00:00 PM,2407.17,2412.00,2382.08,2391.28,54.33,56.41
4/23/2020 3:00:00 PM,2391.28,2410.99,2383.05,2408.25,57.41,63.96
4/23/2020 4:00:00 PM,2408.25,2408.50,2393.01,2399.44,55.32,51.61
4/24/2020 10:00:00 AM,2418.23,2420.43,2382.00,2387.57,52.55,31.66
4/24/2020 11:00:00 AM,2387.57,2409.21,2386.44,2398.48,54.79,32.01
4/24/2020 12:00:00 PM,2398.48,2399.96,2391.21,2395.33,54.00,11.93
4/24/2020 1:00:00 PM,2395.33,2405.00,2392.04,2402.50,55.58,29.52
4/24/2020 2:00:00 PM,2402.50,2404.59,2396.00,2402.20,55.49,29.48
4/24/2020 3:00:00 PM,2402.20,2406.10,2399.57,2406.04,56.42,49.36
4/24/2020 4:00:00 PM,2406.04,2415.88,2402.74,2410.22,57.46,107.78
4/27/2020 10:00:00 AM,2444.82,2444.88,2420.06,2437.64,63.59,306.66
4/27/2020 11:00:00 AM,2437.64,2441.17,2410.87,2411.88,55.50,151.97
4/27/2020 12:00:00 PM,2411.88,2422.46,2397.00,2405.19,53.59,29.91
4/27/2020 1:00:00 PM,2405.19,2410.17,2394.82,2403.97,53.23,-15.78
4/27/2020 2:00:00 PM,2403.97,2404.88,2363.90,2365.98,43.45,-199.94
4/27/2020 3:00:00 PM,2365.98,2384.80,2363.00,2379.63,47.21,-175.32
4/27/2020 4:00:00 PM,2379.63,2390.97,2374.00,2376.82,46.52,-118.27
4/28/2020 10:00:00 AM,2370.22,2373.50,2338.00,2350.14,40.52,-197.44
4/28/2020 11:00:00 AM,2350.14,2358.00,2317.02,2321.00,35.18,-198.33
4/28/2020 12:00:00 PM,2321.00,2331.20,2312.50,2315.84,34.31,-171.81
4/28/2020 1:00:00 PM,2315.84,2328.93,2306.00,2325.98,37.55,-135.98
4/28/2020 2:00:00 PM,2325.98,2335.79,2322.02,2325.36,37.43,-99.31
4/28/2020 3:00:00 PM,2325.36,2337.44,2315.62,2317.88,35.92,-89.00
4/28/2020 4:00:00 PM,2317.88,2327.45,2308.82,2314.08,35.14,-86.83
4/29/2020 10:00:00 AM,2329.31,2359.76,2310.00,2358.18,48.94,-30.99
4/29/2020 11:00:00 AM,2358.18,2374.47,2347.80,2366.88,51.14,24.04
4/29/2020 12:00:00 PM,2366.88,2367.63,2340.00,2341.52,45.03,1.82
4/29/2020 1:00:00 PM,2341.53,2365.86,2341.53,2359.91,49.72,34.22
4/29/2020 2:00:00 PM,2359.91,2366.94,2358.05,2361.50,50.12,63.65
4/29/2020 3:00:00 PM,2361.50,2365.95,2352.00,2365.17,51.08,67.25
4/29/2020 4:00:00 PM,2365.17,2391.89,2363.59,2371.88,52.86,127.67
4/30/2020 10:00:00 AM,2421.27,2438.44,2396.01,2426.16,64.23,221.41
4/30/2020 11:00:00 AM,2426.16,2444.98,2420.02,2421.74,62.90,188.79
4/30/2020 12:00:00 PM,2421.74,2432.58,2421.74,2422.30,63.00,146.21
4/30/2020 1:00:00 PM,2422.30,2428.03,2400.04,2410.90,59.34,93.98
4/30/2020 2:00:00 PM,2410.90,2421.00,2409.00,2419.48,61.17,84.27
4/30/2020 3:00:00 PM,2419.48,2430.99,2417.54,2423.24,61.98,82.94
4/30/2020 4:00:00 PM,2423.26,2470.40,2420.50,2468.80,70.09,120.82
5/1/2020 10:00:00 AM,2335.82,2362.44,2308.39,2320.54,40.09,-117.64
5/1/2020 11:00:00 AM,2320.54,2348.23,2302.21,2305.00,38.25,-123.26
5/1/2020 12:00:00 PM,2305.00,2312.00,2287.00,2289.93,36.49,-141.40
5/1/2020 1:00:00 PM,2289.93,2291.84,2258.19,2281.03,35.45,-143.86
5/1/2020 2:00:00 PM,2281.03,2299.40,2275.54,2297.73,38.95,-105.03
5/1/2020 3:00:00 PM,2297.73,2313.56,2295.11,2302.27,39.91,-76.79
5/1/2020 4:00:00 PM,2302.27,2310.44,2281.45,2285.94,37.63,-76.02
5/4/2020 10:00:00 AM,2256.50,2300.00,2256.38,2298.07,40.35,-73.76
5/4/2020 11:00:00 AM,2298.07,2323.00,2297.00,2313.84,43.79,-39.54
5/4/2020 12:00:00 PM,2314.66,2326.98,2312.66,2316.42,44.36,-25.28
5/4/2020 1:00:00 PM,2316.42,2318.39,2296.00,2300.18,41.53,-38.98
5/4/2020 2:00:00 PM,2300.18,2308.00,2292.27,2306.04,42.94,-38.48
